,OverallQual,YearBuilt,YearRemodAdd,ExterQual,BsmtQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,GarageCars,GarageArea,Y
0,7,2003,2003,2,2,856.0,856,1710,2,2,8,2.0,548.0,208500
1,6,1976,1976,3,2,1262.0,1262,1262,2,3,6,2.0,460.0,181500
2,7,2001,2002,2,2,920.0,920,1786,2,2,6,2.0,608.0,223500
3,7,1915,1970,3,4,756.0,961,1717,1,2,7,3.0,642.0,140000
4,8,2000,2000,2,2,1145.0,1145,2198,2,2,9,3.0,836.0,250000
5,5,1993,1995,3,2,796.0,796,1362,1,3,5,2.0,480.0,143000
6,8,2004,2005,2,0,1686.0,1694,1694,2,2,7,2.0,636.0,307000
7,7,1973,1973,3,2,1107.0,1107,2090,2,3,7,2.0,484.0,200000
8,7,1931,1950,3,4,952.0,1022,1774,2,3,8,2.0,468.0,129900
9,5,1939,1950,3,4,991.0,1077,1077,1,3,5,1.0,205.0,118000
10,5,1965,1965,3,4,1040.0,1040,1040,1,3,5,1.0,384.0,129500
11,9,2005,2006,0,0,1175.0,1182,2324,3,0,11,3.0,736.0,345000
12,5,1962,1962,3,4,912.0,912,912,1,3,4,1.0,352.0,144000
13,7,2006,2007,2,2,1494.0,1494,1494,2,2,7,3.0,840.0,279500
14,6,1960,1960,3,4,1253.0,1253,1253,1,3,5,1.0,352.0,157000
15,7,1929,2001,3,4,832.0,854,854,1,3,5,2.0,576.0,132000
16,6,1970,1970,3,4,1004.0,1004,1004,1,3,5,2.0,480.0,149000
17,4,1967,1967,3,3,0.0,1296,1296,2,3,6,2.0,516.0,90000
18,5,2004,2004,3,4,1114.0,1114,1114,1,2,6,2.0,576.0,159000
19,5,1958,1965,3,4,1029.0,1339,1339,1,3,6,1.0,294.0,139000
20,8,2005,2006,2,0,1158.0,1158,2376,3,2,9,3.0,853.0,325300
21,7,1930,1950,3,4,637.0,1108,1108,1,2,6,1.0,280.0,139400
22,8,2002,2002,2,2,1777.0,1795,1795,2,2,7,2.0,534.0,230000
23,5,1976,1976,3,2,1040.0,1060,1060,1,3,6,2.0,572.0,129900
24,5,1968,2001,3,4,1060.0,1060,1060,1,2,6,1.0,270.0,154000
25,8,2007,2007,2,2,1566.0,1600,1600,2,2,7,3.0,890.0,256300
26,5,1951,2000,3,4,900.0,900,900,1,2,5,2.0,576.0,134800
27,8,2007,2008,2,0,1704.0,1704,1704,2,2,7,3.0,772.0,306000
28,5,1957,1997,3,4,1484.0,1600,1600,1,3,6,1.0,319.0,207500
29,4,1927,1950,3,4,520.0,520,520,1,1,4,1.0,240.0,68500
30,4,1920,1950,3,4,649.0,649,1317,1,3,6,1.0,250.0,40000
31,5,1966,2006,3,4,1228.0,1228,1228,1,2,6,1.0,271.0,149350
32,8,2007,2007,2,0,1234.0,1234,1234,2,2,7,2.0,484.0,179900
33,5,1959,1959,3,4,1398.0,1700,1700,1,2,6,2.0,447.0,165500
34,9,2005,2005,0,0,1561.0,1561,1561,2,0,6,2.0,556.0,277500
35,8,2004,2005,2,0,1117.0,1132,2452,3,2,9,3.0,691.0,309000
36,5,1994,1995,3,2,1097.0,1097,1097,1,3,6,2.0,672.0,145000
37,5,1954,1990,3,4,1297.0,1297,1297,1,3,5,2.0,498.0,153000
38,5,1953,2007,3,4,1057.0,1057,1057,1,2,5,1.0,246.0,109000
39,4,1955,1955,3,3,0.0,1152,1152,2,1,6,0.0,0.0,82000
40,6,1965,1965,3,4,1088.0,1324,1324,2,3,6,2.0,440.0,160000
